Feature;MeanImportance;StdImportance;Top50pct_freq;Selected;Rank
diffAUC2_4;0.03884680291286364;0.0030171869997022292;1.0;True;1
diffAUC1_4;0.032200375103727946;0.0028786490188066676;1.0;True;2
FA1;0.02230386346801773;0.0025863829552736687;1.0;True;3
BNBn2;0.02214605927926532;0.003126740475345933;1.0;True;4
D2;0.020405151570893544;0.0022306343846443875;1.0;True;5
BNBn4;0.01925113102532566;0.002736768667950127;1.0;True;6
N2;0.018503367005598192;0.0021410361544958343;1.0;True;7
BBn4;0.01775924241493695;0.0015337369061791685;1.0;True;8
diffAUC3_4;0.017421269203392205;0.0016269554665892625;1.0;True;9
RRn4;0.017216065658164668;0.002076752900169846;1.0;True;10
SSn4;0.01717516803793653;0.0016732663914345023;1.0;True;11
BNBn1;0.016936496045379206;0.0022166026619471904;1.0;True;12
BNB4;0.016799803811006913;0.0016205940446099914;1.0;True;13
BB4;0.016290686750754388;0.00152531346723373;1.0;True;14
SS4;0.016271370006311698;0.0015909032793326458;1.0;True;15
CCn4;0.01607121934272479;0.0016516939385279811;1.0;True;16
A2;0.01538571793545057;0.002513805824441771;1.0;True;17
FA4;0.015288913585225232;0.0019292920399573044;0.9772727272727273;True;18
CCn1;0.01489021271724298;0.002136041786691597;0.9545454545454546;True;19
BBn1;0.0144419900522936;0.0016424660648682835;0.9772727272727273;True;20
CC4;0.014222984027996417;0.0011403364164430142;1.0;True;21
RRn1;0.01413989858073918;0.0016614723319070576;0.9772727272727273;True;22
BNB1;0.013867794367259816;0.0023576428390365586;0.9545454545454546;True;23
RR4;0.013712986783652409;0.001595436414921898;1.0;True;24
CC1;0.013219193968411154;0.0018729422771636222;0.9318181818181818;True;25
SSn1;0.01310001162343921;0.0013776896659566476;0.9772727272727273;True;26
H2;0.012843887347478804;0.0017060686303606973;0.9545454545454546;True;27
LN1;0.012595799427307531;0.0017605357625648937;0.9772727272727273;True;28
O1;0.01247815750446863;0.0016724287918183634;0.9318181818181818;True;29
H1;0.01190105985482215;0.0015348937692075755;0.9318181818181818;True;30
M4;0.011817211065734724;0.001362575120447138;0.9318181818181818;True;31
BNBn3;0.011127799121698067;0.0018937534423858079;0.6818181818181818;False;32
P1;0.011118579465265642;0.0014307679461936147;0.75;False;33
H3;0.011095254330621739;0.0014977366903730447;0.8636363636363636;False;34
A1;0.01108228420798796;0.0015319082774232144;0.6590909090909091;False;35
A3;0.010773432815073347;0.0014393256792512843;0.6136363636363636;False;36
G2;0.010686883932471854;0.0013658324894884155;0.7272727272727273;False;37
O3;0.010682735908497156;0.0012847808130486285;0.7272727272727273;False;38
BB1;0.010575579334970059;0.0016844866284698808;0.6363636363636364;False;39
Sm3;0.01032068653158553;0.00158178404073453;0.5454545454545454;False;40
RH_med;0.010226507877860062;0.001109102041674151;0.6136363636363636;False;41
BNB2;0.010217381659998493;0.001349206973150075;0.5;False;42
LN4;0.010176942238122577;0.001294506830388952;0.4772727272727273;False;43
LN3;0.010030676677807139;0.0015324081465110633;0.5681818181818182;False;44
SS1;0.009864182503565688;0.0017903160038982265;0.4772727272727273;False;45
SSn2;0.00977758009192276;0.001524534758511445;0.38636363636363635;False;46
H4;0.009679644877168419;0.002243413432290072;0.22727272727272727;False;47
E4;0.009639125468610439;0.0013834839465619005;0.5;False;48
RRn3;0.009570701462317454;0.0012410817105205868;0.22727272727272727;False;49
A4;0.009503209101880643;0.0015586654486094043;0.3181818181818182;False;50
FA3;0.009416813196481345;0.0011788836078327105;0.18181818181818182;False;51
G4;0.009415263648361365;0.0008491722394826626;0.20454545454545456;False;52
Sm4;0.009280048936145549;0.000958471389400758;0.25;False;53
SSn3;0.00903107407624486;0.0009300739702645265;0.1590909090909091;False;54
CCn2;0.00897953066703424;0.0012963201109880904;0.18181818181818182;False;55
I3;0.008906766390131961;0.001090640147305601;0.20454545454545456;False;56
O4;0.008830416236590794;0.0008486432689933183;0.09090909090909091;False;57
BBn2;0.008704890827427234;0.001190904092987407;0.09090909090909091;False;58
L4;0.008358148555978063;0.001108295211127807;0.045454545454545456;False;59
BN4;0.00831603087642521;0.0011258171711470682;0.09090909090909091;False;60
BNB3;0.008312318650446253;0.0010170000619734085;0.045454545454545456;False;61
R4;0.008251461526672924;0.0007905856523711393;0.0;False;62
LN2;0.008145218935997019;0.0012579202647740885;0.045454545454545456;False;63
RRn2;0.008091388705424698;0.0013148879166767961;0.11363636363636363;False;64
BB3;0.007978496091986217;0.0009183415393979697;0.0;False;65
CC2;0.007960213527865237;0.000998763546920408;0.0;False;66
O2;0.007934021648534718;0.0008279597907587113;0.0;False;67
Q3;0.007888162210950596;0.0010867985968984108;0.045454545454545456;False;68
RR1;0.007847230087520944;0.0012537460314245067;0.045454545454545456;False;69
E3;0.007828333613499352;0.0012323200394154488;0.045454545454545456;False;70
Rm4;0.007774324668983579;0.001297066131408789;0.045454545454545456;False;71
Rm3;0.0077140025075426175;0.0009296300213559289;0.0;False;72
F3;0.007489515242683897;0.0013362435889378518;0.022727272727272728;False;73
Q4;0.007466034912484965;0.0008813712638936698;0.0;False;74
BBn3;0.007431442560377957;0.0011383388080571418;0.0;False;75
B4;0.00741239552065159;0.001045210323461888;0.022727272727272728;False;76
CCn3;0.007348755366608517;0.0011498102247546377;0.022727272727272728;False;77
RR3;0.007273450092100084;0.0011326208696910084;0.0;False;78
SS3;0.007115670385041259;0.0010200268260755405;0.0;False;79
F4;0.0068406623147869074;0.00089291797172296;0.0;False;80
M3;0.006691808977517171;0.0011825693880716274;0.022727272727272728;False;81
CC3;0.006680652272801283;0.001251319789462206;0.022727272727272728;False;82
L3;0.0065211343930141885;0.0012114473876157518;0.022727272727272728;False;83
FA2;0.0057457130560801435;0.0007244992351868396;0.0;False;84
C4;0.0053655312343604674;0.0007474620227287443;0.0;False;85
